j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
24.69,60.02,-51.32,-51.32,10.89,-112.32,218.6,91.3,144.3,-137.69,-68.97,-28.38
2.1,65.83,-51.32,-5.53,57.3,149.94,204.4,2.9,87.1,165.99,-12.78,35.99
12.3,66.88,-51.15,-30.58,47.02,147.3,214.0,25.1,92.1,142.35,-2.51,61.56
7.2,62.92,-51.06,-45.79,63.19,160.57,205.6,-10.4,109.9,134.95,6.66,39.91
5.0,56.68,-12.21,-152.75,61.25,-37.79,210.5,-4.3,121.3,54.18,-67.83,104.46
15.2,41.39,-8.7,2.19,31.72,-46.84,170.2,47.4,94.6,-162.02,18.56,-116.59
1.75,18.28,13.44,-13.44,45.87,147.65,131.2,-5.4,112.7,164.11,-3.54,42.93
0.96,44.82,-46.31,-89.2,16.78,-129.99,220.5,-12.5,198.6,88.08,-51.18,75.67
4.21,53.78,-9.31,-24.87,-49.13,102.3,207.8,33.3,114.7,88.2,5.16,112.61
2.1,49.57,-38.58,-78.57,57.04,-140.97,202.2,-39.0,155.2,108.83,-34.23,22.66
